"cnum","coursename","university","url"
"course125","Coaching Practices","University of California, Davis","https://www.coursera.org/learn/coaching-practices"
"course36","Fundamentals of Project Planning and Management","University of Virginia","https://www.coursera.org/learn/uva-darden-project-management"
"course199","Capstone: Creating A Sustainability Proposal","University of Colorado System","https://www.coursera.org/learn/sustainability-proposal"
"course167","Managing Uncertainty in Marketing Analytics","Emory University","https://www.coursera.org/learn/uncertainty-marketing-decisions"
"course136","HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Clinical Perspective)","Columbia University","https://www.coursera.org/learn/hi-five-clinical"
"course47","Claves para Gestionar Personas","IESE Business School","https://www.coursera.org/learn/gestionar-personas"
"course176","La comunicacin laboral en el siglo XXI ","University of California, Irvine","https://www.coursera.org/learn/comunicacion-trabajo"
"course177","Interpersonal Communication for Engineering Leaders","Rice University","https://www.coursera.org/learn/interpersonal-communication"
"course48","How to Finance and Grow Your Startup  Without VC","University of London, London Business School","https://www.coursera.org/learn/startup-financing-without-vc"
"course158","Evaluating Problems","Macquarie University","https://www.coursera.org/learn/evaluating-problems"
"course66","International Leadership and Organizational Behavior","Universit Bocconi","https://www.coursera.org/learn/organizational-behavior"
"course76","High Performance Collaboration: Leadership, Teamwork, and Negotiation","Northwestern University","https://www.coursera.org/learn/leadership-collaboration"
"course31","Achieving Personal and Professional Success","University of Pennsylvania","https://www.coursera.org/specializations/wharton-success"
"course118","On Strategy : What Managers Can Learn from Philosophy - PART 1","CentraleSupec","https://www.coursera.org/learn/management-philosophy"
"course96","Applications of Everyday Leadership","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/everyday-leadership-application"
"course37","Creative Problem Solving","University of Minnesota","https://www.coursera.org/learn/creative-problem-solving"
"course135","Becoming a Sports Agent","Case Western Reserve University","https://www.coursera.org/learn/sports-agent"
"course83","Engineering Project Management: Initiating and Planning","Rice University","https://www.coursera.org/learn/initiating-planning"
"course94","Organizational Behavior: How to Manage People","IESE Business School","https://www.coursera.org/learn/managing-people-iese"
"course168","Leading Organizations","HEC Paris","https://www.coursera.org/learn/leading-organizations"
"course126","Converting Challenges into Opportunities","University of California, San Diego","https://www.coursera.org/learn/converting-challenges-into-opportunities"
"course159","Giving Sense to Your Leadership Experience","HEC Paris","https://www.coursera.org/learn/leading-sense"
"course99","Strategic Business Management - Macroeconomics","University of California, Irvine","https://www.coursera.org/learn/strategic-business-management-macroeconomics"
"course38","Inspiring and Motivating Individuals","University of Michigan","https://www.coursera.org/learn/motivate-people-teams"
"course166","Managing Responsibly: Practicing Sustainability, Responsibility and Ethics","University of Manchester   ","https://www.coursera.org/learn/responsible-management"
"course79","Leading Teams","University of Michigan","https://www.coursera.org/learn/leading-teams"
"course86","Construction Scheduling","Columbia University","https://www.coursera.org/learn/construction-scheduling"
