"cnum","coursename","url","university"
"course104","Electric Industry Operations and Markets","https://www.coursera.org/learn/electricity","Duke University"
"course41","Astrobiology and the Search for Extraterrestrial Life","https://www.coursera.org/learn/astrobiology","The University of Edinburgh"
"course42","Analyzing the Universe","https://www.coursera.org/learn/analyze","Rutgers the State University of New Jersey"
"course1","Introduction to Electronics","https://www.coursera.org/learn/electronics","Georgia Institute of Technology"
"course86","Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading","https://www.coursera.org/learn/mechanics-1","Georgia Institute of Technology"
"course14","Converter Circuits","https://www.coursera.org/learn/converter-circuits","University of Colorado Boulder"
"course119","Strategy and Sustainability","https://www.coursera.org/learn/strategy-sustainability","IESE Business School"
"course92","Requirements Writing","https://www.coursera.org/learn/requirements-writing","UNSW Australia (The University of New South Wales)"
"course96","MBSE: Model-Based Systems Engineering ","https://www.coursera.org/learn/mbse","University at Buffalo, The State University of New York"
"course65","Astronomy: Exploring Time and Space","https://www.coursera.org/learn/astro","University of Arizona"
"course37","Basics of Extracellular Vesicles","https://www.coursera.org/learn/extracellular-vesicles","University of California, Irvine"
"course44","Natural Attenuation of Groundwater Contaminants: New Paradigms, Technologies, and Applications","https://www.coursera.org/learn/natural-attenuation-of-groundwater-contaminants","Rice University"
"course49","Nanotechnology and Nanosensors, Part 2","https://www.coursera.org/learn/nanotechnology2","Technion - Israel Institute of Technology"
"course107","Internet of Things: Setting Up Your DragonBoard Development Platform","https://www.coursera.org/learn/internet-of-things-dragonboard","University of California, San Diego"
"course45","Statistical Thermodynamics: Molecules to Machines","https://www.coursera.org/learn/statistical-thermodynamics-cm","Carnegie Mellon University"
"course97","Advanced Manufacturing Enterprise","https://www.coursera.org/learn/advanced-manufacturing-enterprise","University at Buffalo, The State University of New York"
"course106","Smartphone Emerging Technologies","https://www.coursera.org/learn/smartphone-emerging-technologies","Yonsei University"
"course87","Fundamentals of Engineering Exam Review","https://www.coursera.org/learn/fe-exam","Georgia Institute of Technology"
"course4","Introduction to Power Electronics","https://www.coursera.org/learn/power-electronics","University of Colorado Boulder"
"course52","Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets","https://www.coursera.org/learn/mechanics-particles-planets","UNSW Australia (The University of New South Wales)"
"course103","Interfacing with the Raspberry Pi","https://www.coursera.org/learn/raspberry-pi-interface","University of California, Irvine"
"course33","On Being a Scientist","https://www.coursera.org/learn/scientist","Universiteit Leiden"
"course74","Global Environmental Management","https://www.coursera.org/learn/global-environmental-management","Technical University of Denmark (DTU)"
"course118","Operations Management","https://www.coursera.org/learn/operations-management","University of Illinois at Urbana-Champaign"
"course94","Materials Data Sciences and Informatics","https://www.coursera.org/learn/material-informatics","Georgia Institute of Technology"
"course66","Introduction to Thermodynamics: Transferring Energy from Here to There","https://www.coursera.org/learn/thermodynamics-intro","University of Michigan"
