"Cnum","coursename","url","university"
"course50","Networks: Friends, Money and Bytes","https://www.coursera.org/course/friendsmoneybytes","Princeton"
"course60","Introduction to Algorithms ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-fall-2011/","MIT"
"course117","Cryptography I","http://online.stanford.edu/cryptography-1-summer-2014","Stanford"
"course126","Computational Models of Discourse","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-892-computational-models-of-discourse-spring-2004/","MIT"
"course16","Nanomanufacturing","http://online.stanford.edu/course/nano-nanomanufacturing-summer-2014","Stanford"
"course96","Database, Internet, and Systems Integration Technologies","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-264j-database-internet-and-systems-integration-technologies-fall-2013","MIT"
"course140","Artificial Intelligence","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-034-artificial-intelligence-fall-2010","MIT"
"course101","The Data Scientist’s Toolbox","https://www.coursera.org/course/datascitoolbox","Johns Hopkins"
"course97","Database Systems","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-830-database-systems-fall-2010/","MIT"
"course179","Algorithms for Computer Animation ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-838-algorithms-for-computer-animation-fall-2002/","MIT"
"course135","Principles of Digital Communications II ","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-451-principles-of-digital-communication-ii-spring-2005/","MIT"
"course148","Machine Vision","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-801-machine-vision-fall-2004/","MIT"
"course139","Advanced Natural Language Processing","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-864-advanced-natural-language-processing-fall-2005/","MIT"
"course5","Computation Structures","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-004-computation-structures-spring-2009/","MIT"
"course47","Network Optimization","http://ocw.mit.edu/courses/sloan-school-of-management/15-082j-network-optimization-fall-2010","MIT"
"course108","R Programming","https://www.coursera.org/course/rprog","Johns Hopkins"
"course65","Nonlinear Programming","http://ocw.mit.edu/courses/sloan-school-of-management/15-084j-nonlinear-programming-spring-2004","MIT"
"course181","Creative, Serious and Playful Science of Android Apps","https://www.coursera.org/course/androidapps101","University of Illinois"
"course85","Securing Digital Democracy","http://open.umich.edu/education/engin/eecs/coursera-securing-digital-democracy/2012","University of Michigan"
"course84","Introduction to Cybersecurity","https://www.canvas.net/courses/introduction-to-cybersecurity-1","National Cybersecurity Institute at Excelsior College"
"course104","Databases: Self-Paced","http://online.stanford.edu/course/databases-self-paced","Stanford"
"course49","Networks","http://ocw.mit.edu/courses/economics/14-15j-networks-fall-2009/","MIT"
"course110","Cryptography","https://www.coursera.org/course/cryptography","University of Maryland"
"course56","An Introduction to Interactive Programming in Python","https://www.coursera.org/course/interactivepython","Rice University"
"course48","Networked Life","https://www.coursera.org/course/networks","University of Pennsylvania"
"course17","Principles of Computer Systems","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-826-principles-of-computer-systems-spring-2002/","MIT"
"course52","Software Defined Networking","https://www.coursera.org/course/sdn","Georgia Institute of Technology"
"course10","Game Theory with Engineering Applications","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-254-game-theory-with-engineering-applications-spring-2010/","MIT"
"course99","Learning from Data","https://work.caltech.edu/telecourse.html","CalTech"
