"cnum","university","coursename","url"
"course83","Georgia Institute of Technology","Survey of Music Technology","https://www.coursera.org/learn/music-technology"
"course71","University of Rochester","The Music of the Beatles","https://www.coursera.org/learn/the-beatles"
"course101","Berklee College of Music, Banco Interamericano de Desarrollo","Composicib3n de canciones","https://www.coursera.org/learn/composicion-canciones"
"course18","Michigan State University","Design and Make Infographics (Project-Centered Course)","https://www.coursera.org/learn/infographic-design"
"course94","Berklee College of Music, Banco Interamericano de Desarrollo","Desarrollando tu musicalidad","https://www.coursera.org/learn/desarrollo-musicalidad"
"course100","Michigan State University","Journalism, the future, and you!","https://www.coursera.org/learn/international-journalism"
"course78","Michigan State University","What is news? ","https://www.coursera.org/learn/what-is-news"
"course16","Yale University","Introduction to Classical Music","https://www.coursera.org/learn/introclassicalmusic"
"course115","Berklee College of Music","Composio: Escrevendo a letra","https://www.coursera.org/learn/composicao-escrevendo-letra"
"course72","Universidad de los Andes","Leer a Macondo: la obra de Gabriel Garcada Ma1rquez","https://www.coursera.org/learn/macondo-gabriel-garcia-marquez"
"course3","Michigan State University","Photography Basics and Beyond: From Smartphone to DSLR","https://www.coursera.org/specializations/photography-basics"
"course112","The University of Sydney","The Place of Music in 21st Century Education","https://www.coursera.org/learn/music-education"
"course7","Michigan State University","Become a Journalist: Report the News!","https://www.coursera.org/specializations/become-a-journalist"
"course49","Michigan State University","Camera Control","https://www.coursera.org/learn/camera-control"
"course57","University of Virginia","Plagues, Witches, and War: The Worlds of Historical Fiction","https://www.coursera.org/learn/historical-fiction"
"course80","University of Copenhagen","Scandinavian Film and Television","https://www.coursera.org/learn/scandinavian-movies-tv"
"course88","Vanderbilt University, National Arts Strategies","Leading Innovation in Arts and Culture","https://www.coursera.org/learn/arts-culture-innovation"
"course109","Sapienza University of Rome","Recovering the Humankind's Past and Saving the Universal Heritage","https://www.coursera.org/learn/preserving-cultural-heritage"
"course93","University of London, Goldsmiths, University of London","Creative Programming for Digital Media & Mobile Apps","https://www.coursera.org/learn/digitalmedia"
"course120","Berklee College of Music","Improvisao no Jazz","https://www.coursera.org/learn/improvisacao-no-jazz"
"course4","Berklee College of Music","Developing Your Musicianship","https://www.coursera.org/specializations/musicianship-specialization"
"course67","University of Rochester","The Blues: Understanding and Performing an American Art Form","https://www.coursera.org/learn/the-blues"
"course47","Michigan State University","Principles of Photo Composition and Digital Image Post-Production","https://www.coursera.org/learn/photo-composition"
"course43","Berklee College of Music","The Art of Vocal Production","https://www.coursera.org/learn/vocal-production"
"course65","The Museum of Modern Art","Art & Ideas: Teaching with Themes","https://www.coursera.org/learn/ideas"
"course19","Michigan State University","Cameras, Exposure, and Photography","https://www.coursera.org/learn/exposure-photography"
"course15","Berklee College of Music","Introduction to Guitar","https://www.coursera.org/learn/guitar"
"course60","Stanford University","Health Across the Gender Spectrum","https://www.coursera.org/learn/health-gender-spectrum"
"course21","Berklee College of Music","Songwriting: Writing the Lyrics","https://www.coursera.org/learn/songwriting-lyrics"
"course34","Wesleyan University","Creative Writing: The Craft of Character","https://www.coursera.org/learn/craft-of-character"
